model, size, lr, opt, activation, best epoch, train loss, train accuracy, valid loss, valid accuracy, test loss, test accuracy
ltc,32,0.001,Adam,sigmoid,00000014, 0.57905388, 0.44391434, 0.55677801, 0.44132544, 0.57319021, 0.45093588
ltc,32,0.001,Adam,tanh,00000001, 1.38371336, -0.42435991, 1.31859767, 0.00000002, 1.32401979, 0.00000002
ltc,32,0.001,Adam,relu,00000014, 1.10778999, 0.20392601, 1.09809995, 0.20728114, 1.08953333, 0.21465860
ltc,32,0.001,Adagrad,sigmoid,00000006, 1.38779211, -0.57731230, 1.38144219, 0.14705396, 1.38485801, 0.14526758
ltc,32,0.001,Adagrad,tanh,00000008, 1.36086452, -0.67231180, 1.35740173, 0.21627028, 1.35804260, 0.21866599
ltc,32,0.001,Adagrad,relu,00000001, nan, -0.25046758, nan, 0.00000002, nan, 0.00000002
ltc,32,0.001,RMSProp,sigmoid,00000005, 1.33201253, -0.25385588, 1.31445777, 0.20135658, 1.32027984, 0.19501716
ltc,32,0.001,RMSProp,tanh,00000007, 1.35868347, -0.03560277, 1.34045732, 0.00286012, 1.34412050, 0.00361186
ltc,32,0.001,RMSProp,relu,00000001, nan, -0.17996978, nan, 0.00000002, nan, 0.00000002
ltc,32,0.001,GD,sigmoid,00000008, 1.38317609, -0.35311724, 1.37487209, 0.10194497, 1.37991762, 0.09889265
ltc,32,0.001,GD,tanh,00000001, 1.40631056, -0.76978672, 1.40015101, -0.83558061, 1.40248704, -0.77268653
ltc,32,0.001,GD,relu,00000014, 1.35595334, -0.07817141, 1.35203493, -0.03562963, 1.35657644, -0.08075405
ltc,32,0.001,Adadelta,sigmoid,00000001, 1.36518347, 0.09004204, 1.35978603, 0.08707202, 1.36748230, 0.08594777
ltc,32,0.001,Adadelta,tanh,00000001, 1.41186142, -0.75139498, 1.41252947, -0.81788838, 1.41220522, -0.75560242
ltc,32,0.001,Adadelta,relu,00000001, nan, -0.05410657, nan, 0.00000002, nan, 0.00000002
ltc,32,0.005,Adam,sigmoid,00000014, 0.50679284, 0.49345536, 0.48898718, 0.49272697, 0.50608879, 0.49586085
ltc,32,0.005,Adam,tanh,00000014, 0.52872890, 0.46642227, 0.51286465, 0.45660701, 0.53173107, 0.46016349
ltc,32,0.005,Adam,relu,00000001, nan, -0.06548087, nan, 0.00000002, nan, 0.00000002
ltc,32,0.005,Adagrad,sigmoid,00000003, 1.38119602, 0.01707445, 1.36717606, 0.15816783, 1.36908925, 0.16190348
ltc,32,0.005,Adagrad,tanh,00000006, 1.36560357, -0.08172197, 1.35450339, 0.08862463, 1.35644877, 0.08990241
ltc,32,0.005,Adagrad,relu,00000002, 1.29299343, 0.29656238, 1.27932513, 0.30522188, 1.28914404, 0.29897183
ltc,32,0.005,RMSProp,sigmoid,00000014, 0.60478503, 0.43525619, 0.56273037, 0.43617712, 0.57896733, 0.43973107
ltc,32,0.005,RMSProp,tanh,00000003, 1.37391233, -0.16283824, 1.35109162, 0.07146358, 1.35363865, 0.07163193
ltc,32,0.005,RMSProp,relu,00000001, nan, 0.02755837, nan, 0.00000002, nan, 0.00000002
ltc,32,0.005,GD,sigmoid,00000001, 1.39060831, -0.65082868, 1.38120413, 0.21210258, 1.38276637, 0.20706569
ltc,32,0.005,GD,tanh,00000011, 1.34822369, -0.76354786, 1.34149492, 0.19861898, 1.34539258, 0.19588714
ltc,32,0.005,GD,relu,00000001, 1.52911329, -0.07257673, 1.23307669, 0.00000002, 1.24858916, 0.00000002
ltc,32,0.005,Adadelta,sigmoid,00000001, 1.27479696, 0.08654744, 1.27038085, 0.07992160, 1.27774894, 0.07954120
ltc,32,0.005,Adadelta,tanh,00000001, 1.38031435, -0.55646766, 1.37967479, -0.62098554, 1.37731838, -0.54476669
ltc,32,0.005,Adadelta,relu,00000001, nan, -0.06072618, nan, 0.00000002, nan, 0.00000002
ltc,32,0.01,Adam,sigmoid,00000014, 0.49923164, 0.51035737, 0.47918651, 0.51193100, 0.49369594, 0.51167940
ltc,32,0.01,Adam,tanh,00000013, 0.52406818, 0.46522365, 0.50557417, 0.46281769, 0.51946926, 0.47118380
ltc,32,0.01,Adam,relu,00000001, nan, -0.07037568, nan, 0.00000002, nan, 0.00000002
ltc,32,0.01,Adagrad,sigmoid,00000001, 1.35710537, -0.09470938, 1.32075882, 0.20188770, 1.32283044, 0.20922751
ltc,32,0.01,Adagrad,tanh,00000001, 1.35473752, 0.04858781, 1.33517671, 0.02925556, 1.33899307, 0.02776167
ltc,32,0.01,Adagrad,relu,00000001, nan, -0.04179688, nan, 0.00000002, nan, 0.00000002
ltc,32,0.01,RMSProp,sigmoid,00000014, 0.53067821, 0.47253774, 0.51507586, 0.47319607, 0.53051931, 0.47498020
ltc,32,0.01,RMSProp,tanh,00000013, 1.17596352, 0.02900892, 1.15094924, 0.08944187, 1.15981054, 0.08839970
ltc,32,0.01,RMSProp,relu,00000001, nan, -0.02350604, nan, 0.00000002, nan, 0.00000002
ltc,32,0.01,GD,sigmoid,00000004, 1.39921546, -0.32640335, 1.37986541, 0.19330717, 1.38017488, 0.19791721
ltc,32,0.01,GD,tanh,00000003, 1.34857249, -0.14465927, 1.33892548, 0.27024603, 1.33983719, 0.28230955
ltc,32,0.01,GD,relu,00000001, nan, 0.01583130, nan, 0.00000002, nan, 0.00000002
ltc,32,0.01,Adadelta,sigmoid,00000001, 1.39794266, -0.67936271, 1.39964736, -0.76689548, 1.39923143, -0.68855787
ltc,32,0.01,Adadelta,tanh,00000001, 1.40823948, -0.76806739, 1.40696764, -0.83558061, 1.41028249, -0.77268653
ltc,32,0.01,Adadelta,relu,00000011, 1.50019145, -0.75283991, 1.49998331, -0.82830759, 1.50290692, -0.76171895
ltc,32,0.05,Adam,sigmoid,00000013, 0.49047887, 0.51962597, 0.47453752, 0.52083840, 0.48816282, 0.52090689
ltc,32,0.05,Adam,tanh,00000014, 0.60634673, 0.45624085, 0.56760687, 0.45341992, 0.58573407, 0.45950438
ltc,32,0.05,Adam,relu,00000001, nan, -0.05860928, nan, 0.00000002, nan, 0.00000002
ltc,32,0.05,Adagrad,sigmoid,00000014, 0.82353646, 0.31429880, 0.75978857, 0.32826674, 0.77453613, 0.33495918
ltc,32,0.05,Adagrad,tanh,00000001, 1.33682895, -0.18026109, 1.26116431, 0.00000002, 1.27014112, 0.00000002
ltc,32,0.05,Adagrad,relu,00000001, nan, -0.02351717, nan, 0.00000002, nan, 0.00000002
ltc,32,0.05,RMSProp,sigmoid,00000013, 1.42530119, 0.13486769, 0.58579290, 0.45877261, 0.60001469, 0.46936460
ltc,32,0.05,RMSProp,tanh,00000009, 1.21709907, 0.04521651, 1.23119247, 0.36046412, 1.23434341, 0.36638541
ltc,32,0.05,RMSProp,relu,00000001, nan, -0.06609688, nan, 0.00000002, nan, 0.00000002
ltc,32,0.05,GD,sigmoid,00000001, 1.26346219, 0.07502751, 1.20289135, 0.02704909, 1.21680415, 0.02849990
ltc,32,0.05,GD,tanh,00000001, 1.29400647, 0.00165675, 1.26889539, 0.00000002, 1.27881157, 0.00000002
ltc,32,0.05,GD,relu,00000002, 49129.69140625, -0.33954189, 48062.56640625, 0.00000002, 49890.94531250, 0.00000002
ltc,32,0.05,Adadelta,sigmoid,00000009, 1.36561275, 0.13189387, 1.36161923, 0.21349182, 1.36443186, 0.21099396
ltc,32,0.05,Adadelta,tanh,00000001, 1.39588141, -0.63708532, 1.39639390, -0.72141866, 1.39721251, -0.66198260
ltc,32,0.05,Adadelta,relu,00000001, nan, -0.07672655, nan, 0.00000002, nan, 0.00000002
ltc,32,0.1,Adam,sigmoid,00000008, 0.52543139, 0.47431874, 0.50194103, 0.48251209, 0.51680750, 0.48362770
ltc,32,0.1,Adam,tanh,00000009, 0.79018521, 0.38312202, 0.73058516, 0.41014955, 0.74711639, 0.40970205
ltc,32,0.1,Adam,relu,00000003, 1.05638921, 0.16279690, 1.08503890, 0.30346490, 1.09040093, 0.30899029
ltc,32,0.1,Adagrad,sigmoid,00000014, 0.56998688, 0.45740560, 0.54246688, 0.45922198, 0.55792522, 0.46670181
ltc,32,0.1,Adagrad,tanh,00000001, 1.26588488, -0.05300317, 1.21405113, 0.00000002, 1.22727621, 0.00000002
ltc,32,0.1,Adagrad,relu,00000001, nan, -0.05594335, nan, 0.00000002, nan, 0.00000002
ltc,32,0.1,RMSProp,sigmoid,00000010, 0.57695091, 0.43758580, 0.50872892, 0.47135734, 0.52607328, 0.47469020
ltc,32,0.1,RMSProp,tanh,00000009, 1.24550188, -0.09474859, 1.20720172, 0.04837784, 1.21662927, 0.04874770
ltc,32,0.1,RMSProp,relu,00000001, nan, -0.04407059, nan, 0.00000002, nan, 0.00000002
ltc,32,0.1,GD,sigmoid,00000012, 0.96324790, 0.23853660, 0.90112329, 0.27478136, 0.91648436, 0.28391776
ltc,32,0.1,GD,tanh,00000001, 1.27978277, 0.03361817, 1.22990966, 0.00000002, 1.23995757, 0.00000002
ltc,32,0.1,GD,relu,00000001, nan, 0.01446472, nan, 0.00000002, nan, 0.00000002
ltc,32,0.1,Adadelta,sigmoid,00000012, 1.38086426, -0.18872879, 1.37319565, 0.16891395, 1.37598932, 0.16693909
ltc,32,0.1,Adadelta,tanh,00000004, 1.43454278, -0.76563121, 1.43158603, -0.82021737, 1.42991531, -0.75518060
ltc,32,0.1,Adadelta,relu,00000001, nan, -0.11005454, nan, 0.00000002, nan, 0.00000002
ltc,32,0.5,Adam,sigmoid,00000013, 0.80417287, 0.37230752, 0.77843547, 0.37533707, 0.79402435, 0.37906668
ltc,32,0.5,Adam,tanh,00000001, nan, -0.10669425, nan, 0.00000002, nan, 0.00000002
ltc,32,0.5,Adam,relu,00000001, nan, -0.06805720, nan, 0.00000002, nan, 0.00000002
ltc,32,0.5,Adagrad,sigmoid,00000013, 0.51687616, 0.47800391, 0.50125957, 0.47605616, 0.51829422, 0.48027942
ltc,32,0.5,Adagrad,tanh,00000011, 1.09923995, 0.04177781, 1.13649297, 0.32986022, 1.14171505, 0.33350910
ltc,32,0.5,Adagrad,relu,00000001, 2.01481628, -0.29464358, 1.13886654, 0.04939933, 1.15996182, 0.05098864
ltc,32,0.5,RMSProp,sigmoid,00000002, 1.18415833, -0.00155235, 1.07290864, 0.08474305, 1.08845305, 0.08974428
ltc,32,0.5,RMSProp,tanh,00000001, 1.27215338, -0.03827421, 1.20775068, 0.00000002, 1.22298241, 0.00000002
ltc,32,0.5,RMSProp,relu,00000002, 5.42349720, -0.34984667, 6.44797754, 0.00000002, 6.62681770, 0.00000002
ltc,32,0.5,GD,sigmoid,00000012, 0.95742613, 0.28005798, 0.76197183, 0.44471690, 0.77406448, 0.45080413
ltc,32,0.5,GD,tanh,00000001, 1.26551580, -0.05789804, 1.21584809, 0.00000002, 1.23026562, 0.00000002
ltc,32,0.5,GD,relu,00000013, 1.31433284, 0.10248604, 1.29063797, 0.14778945, 1.29890609, 0.14798313
ltc,32,0.5,Adadelta,sigmoid,00000001, 1.38303769, -0.66213592, 1.36066556, 0.09851276, 1.36444247, 0.09512263
ltc,32,0.5,Adadelta,tanh,00000001, 1.32449687, 0.00878595, 1.31230438, 0.00666007, 1.31713784, 0.00622203
ltc,32,0.5,Adadelta,relu,00000001, 1.53589940, -0.73627396, 1.53151906, -0.80930784, 1.53109825, -0.74355390
